title;type;scimago_value;jcs_value
Polar Research;journal;0.51;1.61
Transfusion Medicine;journal;0.47;2.02
Journal of Animal and Feed Sciences;journal;0.46;1.53
Industrial Law Journal;journal;0.45;1.33
Journal of Clinical Pediatric Dentistry;journal;0.43;1.07
Zygote;journal;0.42;1.44
Horticulture Journal;journal;0.41;0.96
Astrophysical Bulletin;journal;0.39;1.11
Journal of Pharmaceutical Innovation;journal;0.38;2.75
Ecological Restoration;journal;0.34;1.43
Cybium;journal;0.29;0.71
International Journal of Nanotechnology;journal;0.15;0.37
Journal of Chemical Crystallography;journal;0.14;0.60
Journal of the Indian Chemical Society;journal;0.14;0.28
African and Asian Studies;journal;0.14;0.31
European Urology;journal;9.80;20.10
Cancer Discovery;journal;6.80;39.40
Research Policy;journal;3.67;8.11
Journal of Clinical Periodontology;journal;3.46;8.73
Educational Researcher;journal;2.88;4.85
Molecular Cancer Therapeutics;journal;2.72;6.26
npj Vaccines;journal;2.69;7.34
Information Systems Journal;journal;2.64;7.45
American Journal of Respiratory Cell and Molecular Biology;journal;2.47;6.91
Journal of Cell Science;journal;2.38;5.29
Journal of Functional Analysis;journal;2.09;1.75
Body Image;journal;1.78;6.41
European Journal of Work and Organizational Psychology;journal;1.64;3.97
European Journal of Social Psychology;journal;1.61;3.38
IEEE Transactions on Automation Science and Engineering;journal;1.31;5.08
Infection Control and Hospital Epidemiology;journal;1.24;3.25
Journal of Rheology;journal;1.10;4.41
Pediatric Infectious Disease Journal;journal;1.03;2.13
Journal of High Energy Physics;journal;1.00;5.81
Acta Neurologica Scandinavica;journal;0.97;3.21
Macromolecular Materials and Engineering;journal;0.91;4.37
BMC International Health and Human Rights;journal;0.90;2.69
Psychopathology;journal;0.87;1.94
Nutritional Neuroscience;journal;0.87;4.99
Clinics in Dermatology;journal;0.80;3.54
Dermatitis;journal;0.77;4.85
Scandinavian Journal of Forest Research;journal;0.73;2.10
Journal of the Astronautical Sciences;journal;0.70;1.53
Central Asian Survey;journal;0.67;2.21
Journal of Paleolimnology;journal;0.66;1.93
Near Surface Geophysics;journal;0.64;2.03
Topological Methods in Nonlinear Analysis;journal;0.62;0.68
Mathematical Social Sciences;journal;0.61;0.68
Internal Medicine Journal;journal;0.60;2.05
Revista do Instituto de Medicina Tropical de Sao Paulo;journal;0.59;1.85
Journal of New Materials for Electrochemical Systems;journal;0.50;0.72
Vascular and Endovascular Surgery;journal;0.46;1.09
Journal of Inorganic and Organometallic Polymers and Materials;journal;0.45;3.54
Journal of Applied Mathematics and Computing;journal;0.45;1.69
Acta Zoologica;journal;0.41;1.26
Acta Virologica;journal;0.41;1.16
Journal of Southern African Studies;journal;0.38;0.80
Sleep and Biological Rhythms;journal;0.37;1.19
Animal Biology;journal;0.35;1.48
SPIN;journal;0.34;1.44
Formal Methods in System Design;journal;0.33;0.44
Archivos de Bronconeumologia;journal;0.30;4.87
Animal Science Papers and Reports;journal;0.30;1.08
Journal of Theoretical and Applied Mechanics;journal;0.29;0.93
Agrekon;journal;0.29;0.69
Foundations of Science;journal;0.27;1.24
International Journal of Foundations of Computer Science;journal;0.26;0.42
Journal of Employment Counseling;journal;0.25;1.41
Indian Journal of Animal Sciences;journal;0.21;0.32
Bangladesh Journal of Botany;journal;0.15;0.31
Northern History;journal;0.10;0.21
Ocular Surface;journal;3.51;5.03
American Journal of Surgical Pathology;journal;2.63;6.39
Pain;journal;2.52;6.96
Trends in Parasitology;journal;2.24;9.01
Journal of Biomedical Science;journal;2.18;8.41
Journal of Periodontology;journal;2.04;6.99
Marketing Theory;journal;1.64;4.25
Vaccine;journal;1.59;3.64
European Journal of Anaesthesiology;journal;1.45;4.33
Clinical Implant Dentistry and Related Research;journal;1.34;3.93
Psicothema;journal;1.31;3.89
Journal of Sustainable Cement-Based Materials;journal;1.25;4.43
Journal of Chemical Information and Modeling;journal;1.24;4.96
Mechanism and Machine Theory;journal;1.20;3.87
Expert Review of Proteomics;journal;1.10;3.94
Water Economics and Policy;journal;1.09;1.13
Urban Ecosystems;journal;0.99;3.01
Networks;journal;0.98;5.06
Oral Diseases;journal;0.95;3.51
Journal of Geriatric Cardiology;journal;0.95;3.33
Annals of Pharmacotherapy;journal;0.93;3.15
Brain Sciences;journal;0.92;3.39
Australian Journal of Education;journal;0.92;2.26
Cardiology Clinics;journal;0.90;2.21
Journal of Phycology;journal;0.85;2.92
European Archives of Oto-Rhino-Laryngology;journal;0.85;2.50
EcoHealth;journal;0.84;3.18
EXCLI Journal;journal;0.81;4.07
Breeding Science;journal;0.80;2.09
Oryx;journal;0.79;2.69
Advances in Child Development and Behavior;journal;0.77;2.18
World Trade Review;journal;0.75;1.60
IEEE Internet Computing;journal;0.73;2.34
Clinical Psychologist;journal;0.71;1.51
American Journal of the Medical Sciences;journal;0.68;2.38
Mathematical Biosciences;journal;0.64;2.14
Stratigraphy;journal;0.63;1.10
Archives of Psychiatric Nursing;journal;0.61;2.22
Netherlands Heart Journal;journal;0.58;2.38
Pediatrics and Neonatology;journal;0.57;2.08
Smart Structures and Systems;journal;0.56;3.34
High Ability Studies;journal;0.46;1.12
Journal of Volcanology and Seismology;journal;0.44;0.76
International Journal of Advanced Robotic Systems;journal;0.39;1.65
Journal of Fire Sciences;journal;0.37;1.69
Philosophical Magazine Letters;journal;0.36;0.98
European Business Organization Law Review;journal;0.34;1.66
Journal of Computational Electronics;journal;0.33;1.81
International Journal of Optomechatronics;journal;0.26;1.90
Cirugia Espanola;journal;0.25;1.65
Journal of Coastal Research;journal;0.25;0.85
Journal of Cognitive Psychotherapy;journal;0.17;0.47
Papeles de Poblacion;journal;0.12;0.17
Progress in Lipid Research;journal;3.63;16.20
Human Molecular Genetics;journal;2.81;6.15
Education Finance and Policy;journal;2.41;2.33
JAMA Dermatology;journal;2.13;10.28
Cancer Communications;journal;2.12;10.39
Industrial Marketing Management;journal;2.02;6.96
Prostate Cancer and Prostatic Diseases;journal;2.00;5.55
Inflammation and Regeneration;journal;1.96;7.35
Journal of General Internal Medicine;journal;1.75;5.13
Critical Reviews in Plant Sciences;journal;1.71;5.19
Annals of the American Association of Geographers;journal;1.63;4.68
Chinese Journal of Catalysis;journal;1.60;8.27
Plant Reproduction;journal;1.56;3.77
Surgical Endoscopy and Other Interventional Techniques;journal;1.46;4.58
Ophthalmology and Therapy;journal;1.19;3.54
Review of Keynesian Economics;journal;1.17;1.27
Expert Opinion on Drug Delivery;journal;1.08;6.65
Pharmaceutics;journal;1.05;6.32
Mitigation and Adaptation Strategies for Global Change;journal;0.99;3.58
Health Care Management Science;journal;0.90;2.89
Journal of Electroanalytical Chemistry;journal;0.85;4.46
Journal of Algebraic Combinatorics;journal;0.84;0.88
Journal of Forest Economics;journal;0.83;2.00
Techniques in Coloproctology;journal;0.82;3.78
Upsala Journal of Medical Sciences;journal;0.81;2.38
Evolutionary Computation;journal;0.73;3.28
Korean Journal of Orthodontics;journal;0.72;1.37
Asian Journal of Andrology;journal;0.70;3.29
Journal of Stored Products Research;journal;0.64;2.64
Palynology;journal;0.60;2.34
Nursing Economics;journal;0.59;1.09
Indian Journal of Medical Research;journal;0.58;2.38
International Journal of Computer Mathematics;journal;0.55;1.93
Thin Solid Films;journal;0.54;2.18
Fuel Cells;journal;0.49;2.25
Laser and Particle Beams;journal;0.43;1.16
Iranian Journal of Veterinary Research;journal;0.37;1.38
Journal of Asian Studies;journal;0.36;0.99
Journal of Mathematical Sociology;journal;0.36;1.48
Panoeconomicus;journal;0.29;0.85
Managerial and Decision Economics;journal;0.29;0.98
Pakistan Veterinary Journal;journal;0.28;1.32
Journal of Combinatorial Algebra;journal;0.27;1.33
Stahlbau;trade journal;0.27;0.44
Journal of American History;journal;0.27;0.87
Annales Polonici Mathematici;journal;0.26;0.44
Acta Geotechnica Slovenica;journal;0.20;0.50
Mathematical Intelligencer;journal;0.19;0.39
Historical Studies in the Natural Sciences;journal;0.14;1.16
Annual Review of Physiology;journal;10.48;19.32
Annual Review of Phytopathology;journal;6.20;13.08
Molecular Neurodegeneration;journal;5.57;14.20
Journal of Metamorphic Geology;journal;2.64;4.85
Computers in Human Behavior;journal;2.11;6.83
Science Bulletin;journal;1.98;11.78
Acta Orthopaedica;journal;1.81;3.72
Earth System Dynamics;journal;1.81;5.54
Surgery for Obesity and Related Diseases;journal;1.73;4.73
Nucleus;journal;1.73;4.20
Developmental Medicine and Child Neurology;journal;1.66;5.45
IEEE Transactions on Intelligent Transportation Systems;journal;1.59;6.49
Breast;journal;1.56;4.38
FEMS Microbiology Ecology;journal;1.38;4.19
International Journal of Geographical Information Science;journal;1.29;4.19
Vehicle System Dynamics;journal;1.28;4.67
Transformation Groups;journal;1.16;0.91
Therapeutic Advances in Respiratory Disease;journal;1.02;4.03
Atmospheric Science Letters;journal;0.95;2.42
Clinical Therapeutics;journal;0.93;3.39
Journal of Clinical Hypertension;journal;0.91;3.74
Trabajos de Prehistoria;journal;0.85;1.37
Mycotoxin Research;journal;0.84;3.83
International Journal of Adaptive Control and Signal Processing;journal;0.73;3.64
Zebrafish;journal;0.72;1.99
Journal of Cardiopulmonary Rehabilitation and Prevention;journal;0.70;2.08
Journal of Economic Inequality;journal;0.68;1.78
Salud Publica de Mexico;journal;0.67;2.03
Journal of Investigational Allergology and Clinical Immunology;journal;0.66;4.33
Journal of Theoretical and Applied Electronic Commerce Research;journal;0.56;3.05
International Journal of Shipping and Transport Logistics;journal;0.50;1.50
Journal of Oral Implantology;journal;0.48;1.78
Journal of Limnology;journal;0.47;1.59
Journal of Veterinary Medical Education;journal;0.46;1.03
Haseltonia;journal;0.44;0.82
Entomological Research;journal;0.42;1.31
Australian Journal of Management;journal;0.42;2.42
Sexual and Relationship Therapy;journal;0.42;1.28
New York University Law Review;journal;0.38;2.44
English Historical Review;journal;0.32;0.66
Journal of Heterocyclic Chemistry;journal;0.32;2.19
Atomic Energy;journal;0.32;0.30
Kinetics and Catalysis;journal;0.29;1.00
Intelligent Data Analysis;journal;0.23;0.86
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;journal;0.21;0.53
Life Science Alliance;journal;2.57;4.59
Neurobiology of Disease;journal;2.21;6.00
Journal of Personality;journal;2.08;5.12
Age and Ageing;journal;2.01;10.67
Prevention Science;journal;1.79;4.06
Youth Violence and Juvenile Justice;journal;1.74;4.77
Journal of Headache and Pain;journal;1.56;7.28
Journal of Neurology;journal;1.54;4.85
Journal of Reproductive Immunology;journal;1.46;4.05
American Journal of Drug and Alcohol Abuse;journal;1.42;3.83
Medical Teacher;journal;1.36;3.65
ICES Journal of Marine Science;journal;1.35;3.59
Dermatology;journal;1.22;5.37
Transplantation Reviews;journal;1.14;3.94
Advances in Engineering Software;journal;1.14;4.14
Journal of Law and the Biosciences;journal;0.90;3.58
Service Business;journal;0.79;2.79
OR Spectrum;journal;0.78;1.65
Journal of Veterinary Cardiology;journal;0.77;1.70
International Journal of Performance Analysis in Sport;journal;0.76;1.95
Hypertension in Pregnancy;journal;0.75;2.11
Clean Technologies and Environmental Policy;journal;0.73;3.64
Pharmacological Reports;journal;0.71;3.02
AAPS PharmSciTech;journal;0.65;3.25
Positivity;journal;0.62;1.03
International Journal of Nursing Practice;journal;0.62;2.07
Polymer International;journal;0.59;2.99
Defence and Peace Economics;journal;0.58;2.36
Journal of Photonics for Energy;journal;0.56;1.84
Fire Technology;journal;0.54;2.24
Journal of Primary Prevention;journal;0.51;1.66
Journal of Bionic Engineering;journal;0.49;2.68
Revista Brasileira de Entomologia;journal;0.48;1.13
Journal of Renewable and Sustainable Energy;journal;0.48;2.22
Chemistry and Ecology;journal;0.45;2.24
Journal of the American Helicopter Society;journal;0.44;1.10
International Journal of Modern Physics E;journal;0.43;1.17
Notre Dame Law Review;journal;0.37;1.99
Natural Areas Journal;journal;0.36;0.85
Critical Care Nurse;journal;0.34;1.71
Biota Neotropica;journal;0.33;1.40
English in Australia;journal;0.31;0.42
Veterinary Research Forum;journal;0.26;1.05
Croatica Chemica Acta;journal;0.21;0.89
Physics of Fluids;journal;0.13;3.52
Journal of Clinical Oncology;journal;10.48;44.54
Nature Reviews Cardiology;journal;5.50;32.42
Entrepreneurship Theory and Practice;journal;5.37;10.08
Trends in Molecular Medicine;journal;3.79;11.95
npj Genomic Medicine;journal;2.64;8.62
Modern Pathology;journal;2.60;7.84
Journal of Physical Chemistry Letters;journal;2.56;6.48
International Journal of Production Economics;journal;2.41;7.89
California Management Review;journal;1.81;8.84
Corporate Social Responsibility and Environmental Management;journal;1.52;8.74
Eye;journal;1.45;3.78
BMC Geriatrics;journal;1.41;3.92
Journal of Gynecologic Oncology;journal;1.36;4.40
Journal of Cancer Research and Clinical Oncology;journal;1.34;4.55
Qualitative Research;journal;1.29;2.92
Nonlinear Dynamics;journal;1.25;5.02
Applied Soil Ecology;journal;1.24;4.05
ASTIN Bulletin;journal;1.11;1.48
Journal of College Student Development;journal;1.06;2.17
Microbes and Environments;journal;1.05;2.91
International Journal of Bioprinting;journal;1.01;6.64
Journal of Food Composition and Analysis;journal;0.98;4.56
Journal of Wildlife Management;journal;0.94;2.47
International Dental Journal;journal;0.84;2.51
International Journal of Fuzzy Systems;journal;0.73;4.67
Journal of Mathematical Physics;journal;0.71;1.49
Discrete Applied Mathematics;journal;0.70;1.14
Fisheries Management and Ecology;journal;0.69;1.89
Modelling and Simulation in Materials Science and Engineering;journal;0.69;2.25
Development Policy Review;journal;0.67;1.65
Journal of Occupational Health;journal;0.66;2.71
Journal of Biosocial Science;journal;0.64;2.02
Bulletin of Marine Science;journal;0.63;1.63
Journal of Nematology;journal;0.56;1.40
Veterinary Clinical Pathology;journal;0.54;1.18
Universal Access in the Information Society;journal;0.49;3.08
Annals of Forest Research;journal;0.47;1.52
Information Development;journal;0.45;2.05
Journal of Swine Health and Production;journal;0.43;1.53
Knowledge Organization;journal;0.40;1.00
Action Research;journal;0.39;2.10
Packaging Technology and Science;journal;0.37;1.88
Latin American Journal of Aquatic Research;journal;0.36;0.96
Taiwania;journal;0.35;0.93
Nematropica;journal;0.33;0.55
Ocean Science Journal;journal;0.32;1.05
Global Nest Journal;journal;0.31;1.04
Asian Myrmecology;journal;0.29;0.50
International Journal of Diabetes in Developing Countries;journal;0.21;0.72
Mechanika;journal;0.21;0.60
Chemija;journal;0.16;0.64
Deutsche Lebensmittel-Rundschau;journal;0.15;0.14
Psychologist;journal;0.11;0.33
Plant Cell;journal;5.32;11.28
Journal of the European Mathematical Society;journal;3.55;2.20
Behaviour Research and Therapy;journal;2.51;4.47
Academic Medicine;journal;2.00;6.89
Rheumatology;journal;1.96;7.58
Media Psychology;journal;1.45;3.82
Journal of Hypertension;journal;1.25;4.84
Astrobiology;journal;1.23;4.34
Talanta;journal;1.18;6.06
European Psychologist;journal;1.17;5.57
Journal of Evidence-Based Dental Practice;journal;1.17;5.27
Journal of Aging and Health;journal;1.04;3.21
Infection and Drug Resistance;journal;1.03;4.00
Microsurgery;journal;1.03;2.43
Journal of Pharmacological Sciences;journal;0.99;3.34
Artificial Intelligence;journal;0.96;9.09
Bioscience Reports;journal;0.94;3.84
BMC Pediatrics;journal;0.81;2.13
Pacific Review;journal;0.77;2.43
International Journal of Biometeorology;journal;0.76;3.79
Anticancer Research;journal;0.74;2.48
American Journal of Industrial Medicine;journal;0.70;2.21
ATMOSPHERE;journal;0.70;2.69
Social Justice Research;journal;0.65;1.44
Research on Social Work Practice;journal;0.64;2.24
Journal of Herpetology;journal;0.64;1.58
Journal of Human Lactation;journal;0.62;2.22
Acta Oto-Laryngologica;journal;0.61;1.49
Theory and Decision;journal;0.60;1.15
North American Journal of Fisheries Management;journal;0.59;1.44
Journal of Mathematical Inequalities;journal;0.59;1.23
Journal of Ship Research;journal;0.53;1.32
Facets;journal;0.51;2.54
